,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
FRHM,FIRE|CHIMNEY|HM|MULT,FRHM,CHIMNEY FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,2,1,,2,,1,,,,,,,,1,,,,,,1,,
FRM,FIRE|CHIMNEY|MULT,FRM,CHIMNEY FIRE WITH MULTIPLE PATIENTS,2,1,,2,,1,,,,,,,,,,,,,,1,,
FRT,FIRE|CHIMNEY|TRAP,FRT,CHIMNEY FIRE WITH ENTRAPMENT,2,1,1,,,,,,,,,,,,,,,,,1,,
FRT1,FIRE|CHIMNEY|TRAP|ALS1,FRT1,"CHIMNEY FIRE WITH ENTRAPMENT, A-L-S ONE",2,1,1,1,,,,,,,,,,,,,,,,1,,
FRT2,FIRE|CHIMNEY|TRAP|ALS2,FRT2,"CHIMNEY FIRE WITH ENTRAPMENT, A-L-S TWO",2,1,1,1,,1,,,,,,,,,,,,,,1,,
FRTB,FIRE|CHIMNEY|TRAP|BLS,FRTB,"CHIMNEY FIRE WITH ENTRAPMENT, B-L-S",2,1,1,,1,,,,,,,,,,,,,,,1,,
FRTH,FIRE|CHIMNEY|TRAP|HM,FRTH,CHIMNEY FIRE WITH ENTRAPMENT AND HAZ MAT,2,1,1,,,,,,,,,,,1,,,,,,1,,
FRTH1,FIRE|CHIMNEY|TRAP|HM|ALS1,FRTH1,"CHIMNEY FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",2,1,1,1,,,,,,,,,,1,,,,,,1,,
FRTH2,FIRE|CHIMNEY|TRAP|HM|ALS2,FRTH2,"CHIMNEY FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",2,1,1,1,,1,,,,,,,,1,,,,,,1,,
FRTHB,FIRE|CHIMNEY|TRAP|HM|BLS,FRTHB,"CHIMNEY FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",2,1,1,,1,,,,,,,,,1,,,,,,1,,
FL,FIRE|COMM,FL,COMMERCIAL STRUCTURE FIRE,3,1,1,1,,,,,,,,,,,,,,,,1,,
FL1,FIRE|COMM|ALS1,FL1,"COMMERCIAL STRUCTURE FIRE, A-L-S ONE",3,1,1,1,,,,,,,,,,,,,,,,1,,
FL2,FIRE|COMM|ALS2,FL2,"COMMERCIAL STRUCTURE FIRE, A-L-S TWO",3,1,1,1,,1,,,,,,,,,,,,,,1,,
FLB,FIRE|COMM|BLS,FLB,"COMMERCIAL STRUCTURE FIRE, B-L-S",3,1,1,,1,,,,,,,,,,,,,,,1,,
FLH,FIRE|COMM|HM,FLH,COMMERCIAL STRUCTURE FIRE WITH HAZ MAT,3,1,1,1,,,,,,,,,,2,,,,,,1,,
FLH1,FIRE|COMM|HM|ALS1,FLH1,"COMMERCIAL STRUCTURE FIRE WITH HAZ MAT, A-L-S ONE",3,1,1,1,,,,,,,,,,2,,,,,,1,,
FLH2,FIRE|COMM|HM|ALS2,FLH2,"COMMERCIAL STRUCTURE FIRE WITH HAZ MAT, A-L-S TWO",3,1,1,1,,1,,,,,,,,2,,,,,,1,,
FLHB,FIRE|COMM|HM|BLS,FLHB,"COMMERCIAL STRUCTURE FIRE WITH HAZ MAT, B-L-S",3,1,1,,1,,,,,,,,,2,,,,,,1,,
FLHM,FIRE|COMM|HM|MULT,FLHM,COMMERCIAL STRUCTURE FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FLM,FIRE|COMM|MULT,FLM,COMMERCIAL STRUCTURE FIRE WITH MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,,,,,,,1,,
FLT,FIRE|COMM|TRAP,FLT,COMMERCIAL STRUCTURE FIRE WITH ENTRAPMENT,3,1,1,2,,,,,,,,,,,,,,,,1,,
FLT1,FIRE|COMM|TRAP|ALS1,FLT1,"COMMERCIAL STRUCTURE FIRE WITH ENTRAPMENT, A-L-S ONE",3,1,1,2,,,,,,,,,,,,,,,,1,,
FLT2,FIRE|COMM|TRAP|ALS2,FLT2,"COMMERCIAL STRUCTURE FIRE WITH ENTRAPMENT, A-L-S TWO",3,1,1,2,,1,,,,,,,,,,,,,,1,,
FLTB,FIRE|COMM|TRAP|BLS,FLTB,"COMMERCIAL STRUCTURE FIRE WITH ENTRAPMENT, B-L-S",3,1,1,1,1,,,,,,,,,,,,,,,1,,
FLTH,FIRE|COMM|TRAP|HM,FLTH,COMMERCIAL STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT,3,1,1,2,,,,,,,,,,2,,,,,,1,,
FLTH1,FIRE|COMM|TRAP|HM|ALS1,FLTH1,"COMMERCIAL STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",3,1,1,2,,,,,,,,,,2,,,,,,1,,
FLTH2,FIRE|COMM|TRAP|HM|ALS2,FLTH2,"COMMERCIAL STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FLTHB,FIRE|COMM|TRAP|HM|BLS,FLTHB,"COMMERCIAL STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
SE,FIRE|CONTROLLEDBURN,SE,CONTROLLED BURN,1,,,,,,,,,,,,,,,,,,,,,
FC,FIRE|CONTROLLEDBURN|BLS,FC,"CONTROLLED BURN, B-L-S",1,,,1,,,,,,,,,,,,,,,,,,
FX,FIRE|CONTROLLEDBURN|MULT,FX,CONTROLLED BURN WITH MULTIPLE PATIENTS,1,,,1,1,1,,,,,,,,,,,,,,,,
SE,FIRE|CONTROLLEDBURN|ROUTINE,SE,"CONTROLLED BURN, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
FE,FIRE|ELECTRICALSHORT,FE,ELECTRICAL SHORT FIRE,2,1,,,,,,,,,,,,,,,,,,,,
HMADAPT,FIRE|ELECTRICALSHORT|HM,HMADAPT,ELECTRICAL SHORT FIRE WITH HAZ MAT,2,1,,2,,,,,,,,,,1,,,,,,1,,
EXPLF,FIRE|EXPL,EXPLF,EXPLOSION WITH FIRE,2,1,,,,,,,,,,,,,,,,,,,1,
EXPLF1,FIRE|EXPL|ALS1,EXPLF1,"EXPLOSION WITH FIRE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,1,
EXPLFH1,FIRE|EXPL|HM|ALS1,EXPLFH1,"EXPLOSION WITH FIRE AND HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,,1,
EXPLFHM,FIRE|EXPL|HM|MULT,EXPLFHM,"EXPLOSION WITH FIRE, HAZ MAT, AND MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,1,,,,,,,1,
EXPLFM,FIRE|EXPL|MULT,EXPLFM,EXPLOSION WITH FIRE AND MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,1,
EXPLVF,FIRE|EXPL|VEH,EXPLVF,VEHICLE EXPLOSION WITH FIRE,2,1,,,,,,,,,,,,,,,,,,,1,
EXPLVF1,FIRE|EXPL|VEH|ALS1,EXPLVF1,"VEHICLE EXPLOSION WITH FIRE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,1,
EXPLVFH1,FIRE|EXPL|VEH|HM|ALS1,EXPLVFH1,"VEHICLE EXPLOSION WITH FIRE AND HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,,1,
EXPLVFHM,FIRE|EXPL|VEH|HM|MULT,EXPLVFHM,"VEHICLE EXPLOSION WITH FIRE, HAZ MAT, AND MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,1,,,,,,,1,
EXPLVFM,FIRE|EXPL|VEH|MULT,EXPLVFM,VEHICLE EXPLOSION WITH FIRE AND MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,1,
FK,FIRE|HIGHRISE,FK,HIGH RISE BUILDING FIRE,4,2,1,2,,,,,,,,,,,,,,,,1,,
FK1,FIRE|HIGHRISE|ALS1,FK1,"HIGH RISE BUILDING FIRE, A-L-S ONE",4,2,1,2,,,,,,,,,,,,,,,,1,,
FK2,FIRE|HIGHRISE|ALS2,FK2,"HIGH RISE BUILDING FIRE, A-L-S TWO",4,2,1,2,,1,,,,,,,,,,,,,,1,,
FKB,FIRE|HIGHRISE|BLS,FKB,"HIGH RISE BUILDING FIRE, B-L-S",4,2,1,1,1,,,,,,,,,,,,,,,1,,
FKH,FIRE|HIGHRISE|HM,FKH,HIGH RISE BUILDING FIRE WITH HAZ MAT,4,2,1,2,,,,,,,,,,2,,,,,,1,,
FKH1,FIRE|HIGHRISE|HM|ALS1,FKH1,"HIGH RISE BUILDING FIRE WITH HAZ MAT, A-L-S ONE",4,2,1,2,,,,,,,,,,2,,,,,,1,,
FKH2,FIRE|HIGHRISE|HM|ALS2,FKH2,"HIGH RISE BUILDING FIRE WITH HAZ MAT, A-L-S TWO",4,2,1,2,,1,,,,,,,,2,,,,,,1,,
FKHB,FIRE|HIGHRISE|HM|BLS,FKHB,"HIGH RISE BUILDING FIRE WITH HAZ MAT, B-L-S",4,2,1,1,1,,,,,,,,,2,,,,,,1,,
FKHM,FIRE|HIGHRISE|HM|MULT,FKHM,HIGH RISE BUILDING FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,4,2,1,3,,1,,,,,,,,2,,,,,,1,,
FKM,FIRE|HIGHRISE|MULT,FKM,HIGH RISE BUILDING FIRE WITH MULTIPLE PATIENTS,4,2,1,3,,1,,,,,,,,,,,,,,1,,
FKT,FIRE|HIGHRISE|TRAP,FKT,HIGH RISE BUILDING FIRE WITH ENTRAPMENT,4,2,1,2,,,,,,,,,,,,,,,,1,,
FKT1,FIRE|HIGHRISE|TRAP|ALS1,FKT1,"HIGH RISE BUILDING FIRE WITH ENTRAPMENT, A-L-S ONE",4,2,1,2,,,,,,,,,,,,,,,,1,,
FKT2,FIRE|HIGHRISE|TRAP|ALS2,FKT2,"HIGH RISE BUILDING FIRE WITH ENTRAPMENT, A-L-S TWO",4,2,1,2,,1,,,,,,,,,,,,,,1,,
FKTB,FIRE|HIGHRISE|TRAP|BLS,FKTB,"HIGH RISE BUILDING FIRE WITH ENTRAPMENT, B-L-S",4,2,1,1,1,,,,,,,,,,,,,,,1,,
FKTH,FIRE|HIGHRISE|TRAP|HM,FKTH,HIGH RISE BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT,4,2,1,2,,,,,,,,,,2,,,,,,1,,
FKTH1,FIRE|HIGHRISE|TRAP|HM|ALS1,FKTH1,"HIGH RISE BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",4,2,1,2,,,,,,,,,,2,,,,,,1,,
FKTH2,FIRE|HIGHRISE|TRAP|HM|ALS2,FKTH2,"HIGH RISE BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",4,2,1,2,,1,,,,,,,,2,,,,,,1,,
FKTHB,FIRE|HIGHRISE|TRAP|HM|BLS,FKTHB,"HIGH RISE BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",4,2,1,1,1,,,,,,,,,2,,,,,,1,,
FJ,FIRE|HOUSE,FJ,HOUSE FIRE,3,1,1,1,,,,,,,,,,,,,,,,1,,
FJ1,FIRE|HOUSE|ALS1,FJ1,"HOUSE FIRE, A-L-S ONE",3,1,1,1,,,,,,,,,,,,,,,,1,,
FJ2,FIRE|HOUSE|ALS2,FJ2,"HOUSE FIRE, A-L-S TWO",3,1,1,1,,1,,,,,,,,,,,,,,1,,
FJB,FIRE|HOUSE|BLS,FJB,"HOUSE FIRE, B-L-S",3,1,1,,1,,,,,,,,,,,,,,,1,,
FJH,FIRE|HOUSE|HM,FJH,HOUSE FIRE WITH HAZ MAT,3,1,1,1,,,,,,,,,,2,,,,,,1,,
FJH1,FIRE|HOUSE|HM|ALS1,FJH1,"HOUSE FIRE WITH HAZ MAT, A-L-S ONE",3,1,1,1,,,,,,,,,,2,,,,,,1,,
FJH2,FIRE|HOUSE|HM|ALS2,FJH2,"HOUSE FIRE WITH HAZ MAT, A-L-S TWO",3,1,1,1,,1,,,,,,,,2,,,,,,1,,
FJHB,FIRE|HOUSE|HM|BLS,FJHB,"HOUSE FIRE WITH HAZ MAT, B-L-S",3,1,1,,1,,,,,,,,,2,,,,,,1,,
FJM,FIRE|HOUSE|MULT,FJM,HOUSE FIRE WITH MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,,,,,,,1,,
FJT,FIRE|HOUSE|TRAP,FJT,HOUSE FIRE WITH ENTRAPMENT,3,1,1,2,,,,,,,,,,,,,,,,1,,
FJT1,FIRE|HOUSE|TRAP|ALS1,FJT1,"HOUSE FIRE WITH ENTRAPMENT, A-L-S ONE",3,1,1,2,,,,,,,,,,,,,,,,1,,
FJT2,FIRE|HOUSE|TRAP|ALS2,FJT2,"HOUSE FIRE WITH ENTRAPMENT, A-L-S TWO",3,1,1,2,,1,,,,,,,,,,,,,,1,,
FJTB,FIRE|HOUSE|TRAP|BLS,FJTB,"HOUSE FIRE WITH ENTRAPMENT, B-L-S",3,1,1,1,1,,,,,,,,,,,,,,,1,,
FJTH,FIRE|HOUSE|TRAP|HM,FJTH,HOUSE FIRE WITH ENTRAPMENT AND HAZ MAT,3,1,1,2,,,,,,,,,,2,,,,,,1,,
FJTH1,FIRE|HOUSE|TRAP|HM|ALS1,FJTH1,"HOUSE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",3,1,1,2,,,,,,,,,,2,,,,,,1,,
FJTH2,FIRE|HOUSE|TRAP|HM|ALS2,FJTH2,"HOUSE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FJTHB,FIRE|HOUSE|TRAP|HM|BLS,FJTHB,"HOUSE FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
FL,FIRE|LARGE,FL,LARGE STRUCTURE FIRE,3,1,1,1,,,,,,,,,,,,,,,,1,,
FL1,FIRE|LARGE|ALS1,FL1,"LARGE STRUCTURE FIRE, A-L-S ONE",3,1,1,1,,,,,,,,,,,,,,,,1,,
FL2,FIRE|LARGE|ALS2,FL2,"LARGE STRUCTURE FIRE, A-L-S TWO",3,1,1,1,,1,,,,,,,,,,,,,,1,,
FLB,FIRE|LARGE|BLS,FLB,"LARGE STRUCTURE FIRE, B-L-S",3,1,1,,1,,,,,,,,,,,,,,,1,,
FLH,FIRE|LARGE|HM,FLH,LARGE STRUCTURE FIRE WITH HAZ MAT,3,1,1,1,,,,,,,,,,2,,,,,,1,,
FLH1,FIRE|LARGE|HM|ALS1,FLH1,"LARGE STRUCTURE FIRE WITH HAZ MAT, A-L-S ONE",3,1,1,1,,,,,,,,,,2,,,,,,1,,
FLH2,FIRE|LARGE|HM|ALS2,FLH2,"LARGE STRUCTURE FIRE WITH HAZ MAT, A-L-S TWO",3,1,1,1,,1,,,,,,,,2,,,,,,1,,
FLHB,FIRE|LARGE|HM|BLS,FLHB,"LARGE STRUCTURE FIRE WITH HAZ MAT, B-L-S",3,1,1,,1,,,,,,,,,2,,,,,,1,,
FLHM,FIRE|LARGE|HM|MULT,FLHM,LARGE STRUCTURE FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FLM,FIRE|LARGE|MULT,FLM,LARGE STRUCTURE FIRE WITH MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,,,,,,,1,,
FLT,FIRE|LARGE|TRAP,FLT,LARGE STRUCTURE FIRE WITH ENTRAPMENT,3,1,1,2,,,,,,,,,,,,,,,,1,,
FLT1,FIRE|LARGE|TRAP|ALS1,FLT1,"LARGE STRUCTURE FIRE WITH ENTRAPMENT, A-L-S ONE",3,1,1,2,,,,,,,,,,,,,,,,1,,
FLT2,FIRE|LARGE|TRAP|ALS2,FLT2,"LARGE STRUCTURE FIRE WITH ENTRAPMENT, A-L-S TWO",3,1,1,2,,1,,,,,,,,,,,,,,1,,
FLTB,FIRE|LARGE|TRAP|BLS,FLTB,"LARGE STRUCTURE FIRE WITH ENTRAPMENT, B-L-S",3,1,1,1,1,,,,,,,,,,,,,,,1,,
FLTH,FIRE|LARGE|TRAP|HM,FLTH,LARGE STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT,3,1,1,2,,,,,,,,,,2,,,,,,1,,
FLTH1,FIRE|LARGE|TRAP|HM|ALS1,FLTH1,"LARGE STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",3,1,1,2,,,,,,,,,,2,,,,,,1,,
FLTH2,FIRE|LARGE|TRAP|HM|ALS2,FLTH2,"LARGE STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FLTHB,FIRE|LARGE|TRAP|HM|BLS,FLTHB,"LARGE STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
FF,FIRE|LARGEVEH,FF,LARGE VEHICLE FIRE,2,1,,,1,,,,,,,,,,,,,,,,,
FDMULTP,FIRE|LARGEVEH|BLS,FDMULTP,"LARGE VEHICLE FIRE, B-L-S",2,1,,1,1,,,,,,,,,,,,,,,,,
HMADPD,FIRE|LARGEVEH|HM,HMADPD,LARGE VEHICLE FIRE WITH HAZ MAT,2,1,,2,,1,,,,,,,,1,,,,,,1,,
FL,FIRE|MIXED,FL,STRUCTURE FIRE,3,1,1,1,,,,,,,,,,,,,,,,1,,
FL1,FIRE|MIXED|ALS1,FL1,"STRUCTURE FIRE, A-L-S ONE",3,1,1,1,,,,,,,,,,,,,,,,1,,
FL2,FIRE|MIXED|ALS2,FL2,"STRUCTURE FIRE, A-L-S TWO",3,1,1,1,,1,,,,,,,,,,,,,,1,,
FLB,FIRE|MIXED|BLS,FLB,"STRUCTURE FIRE, B-L-S",3,1,1,,1,,,,,,,,,,,,,,,1,,
FLH,FIRE|MIXED|HM,FLH,STRUCTURE FIRE WITH HAZ MAT,3,1,1,1,,,,,,,,,,2,,,,,,1,,
FLH1,FIRE|MIXED|HM|ALS1,FLH1,"STRUCTURE FIRE WITH HAZ MAT, A-L-S ONE",3,1,1,1,,,,,,,,,,2,,,,,,1,,
FLH2,FIRE|MIXED|HM|ALS2,FLH2,"STRUCTURE FIRE WITH HAZ MAT, A-L-S TWO",3,1,1,1,,1,,,,,,,,2,,,,,,1,,
FLHB,FIRE|MIXED|HM|BLS,FLHB,"STRUCTURE FIRE WITH HAZ MAT, B-L-S",3,1,1,,1,,,,,,,,,2,,,,,,1,,
FLHM,FIRE|MIXED|HM|MULT,FLHM,STRUCTURE FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FLM,FIRE|MIXED|MULT,FLM,STRUCTURE FIRE WITH MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,,,,,,,1,,
FLT,FIRE|MIXED|TRAP,FLT,STRUCTURE FIRE WITH ENTRAPMENT,3,1,1,2,,,,,,,,,,,,,,,,1,,
FLT1,FIRE|MIXED|TRAP|ALS1,FLT1,"STRUCTURE FIRE WITH ENTRAPMENT, A-L-S ONE",3,1,1,2,,,,,,,,,,,,,,,,1,,
FLT2,FIRE|MIXED|TRAP|ALS2,FLT2,"STRUCTURE FIRE WITH ENTRAPMENT, A-L-S TWO",3,1,1,2,,1,,,,,,,,,,,,,,1,,
FLTB,FIRE|MIXED|TRAP|BLS,FLTB,"STRUCTURE FIRE WITH ENTRAPMENT, B-L-S",3,1,1,1,1,,,,,,,,,,,,,,,1,,
FLTH,FIRE|MIXED|TRAP|HM,FLTH,STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT,3,1,1,2,,,,,,,,,,2,,,,,,1,,
FLTH1,FIRE|MIXED|TRAP|HM|ALS1,FLTH1,"STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",3,1,1,2,,,,,,,,,,2,,,,,,1,,
FLTH2,FIRE|MIXED|TRAP|HM|ALS2,FLTH2,"STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FLTHB,FIRE|MIXED|TRAP|HM|BLS,FLTHB,"STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
FL,FIRE|MULTI,FL,APARTMENT FIRE,3,1,1,1,,,,,,,,,,,,,,,,1,,
FL1,FIRE|MULTI|ALS1,FL1,"APARTMENT FIRE, A-L-S ONE",3,1,1,1,,,,,,,,,,,,,,,,1,,
FL2,FIRE|MULTI|ALS2,FL2,"APARTMENT FIRE, A-L-S TWO",3,1,1,1,,1,,,,,,,,,,,,,,1,,
FLB,FIRE|MULTI|BLS,FLB,"APARTMENT FIRE, B-L-S",3,1,1,,1,,,,,,,,,,,,,,,1,,
FLH,FIRE|MULTI|HM,FLH,APARTMENT FIRE WITH HAZ MAT,3,1,1,1,,,,,,,,,,2,,,,,,1,,
FLH1,FIRE|MULTI|HM|ALS1,FLH1,"APARTMENT FIRE WITH HAZ MAT, A-L-S ONE",3,1,1,1,,,,,,,,,,2,,,,,,1,,
FLH2,FIRE|MULTI|HM|ALS2,FLH2,"APARTMENT FIRE WITH HAZ MAT, A-L-S TWO",3,1,1,1,,1,,,,,,,,2,,,,,,1,,
FLHB,FIRE|MULTI|HM|BLS,FLHB,"APARTMENT FIRE WITH HAZ MAT, B-L-S",3,1,1,,1,,,,,,,,,2,,,,,,1,,
FLHM,FIRE|MULTI|HM|MULT,FLHM,APARTMENT FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FLM,FIRE|MULTI|MULT,FLM,APARTMENT FIRE WITH MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,,,,,,,1,,
FLT,FIRE|MULTI|TRAP,FLT,APARTMENT FIRE WITH ENTRAPMENT,3,1,1,2,,,,,,,,,,,,,,,,1,,
FLT1,FIRE|MULTI|TRAP|ALS1,FLT1,"APARTMENT FIRE WITH ENTRAPMENT, A-L-S ONE",3,1,1,2,,,,,,,,,,,,,,,,1,,
FLT2,FIRE|MULTI|TRAP|ALS2,FLT2,"APARTMENT FIRE WITH ENTRAPMENT, A-L-S TWO",3,1,1,2,,1,,,,,,,,,,,,,,1,,
FLTB,FIRE|MULTI|TRAP|BLS,FLTB,"APARTMENT FIRE WITH ENTRAPMENT, B-L-S",3,1,1,1,1,,,,,,,,,,,,,,,1,,
FLTH,FIRE|MULTI|TRAP|HM,FLTH,APARTMENT FIRE WITH ENTRAPMENT AND HAZ MAT,3,1,1,2,,,,,,,,,,2,,,,,,1,,
FLTH1,FIRE|MULTI|TRAP|HM|ALS1,FLTH1,"APARTMENT FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",3,1,1,2,,,,,,,,,,2,,,,,,1,,
FLTH2,FIRE|MULTI|TRAP|HM|ALS2,FLTH2,"APARTMENT FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FLTHB,FIRE|MULTI|TRAP|HM|BLS,FLTHB,"APARTMENT FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
MVCFIRE1,FIRE|MVC|ALS1,MVCFIRE1,"MOTOR VEHICLE COLLISION WITH FIRE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,,
MVCFIRE2,FIRE|MVC|ALS2,MVCFIRE2,"MOTOR VEHICLE COLLISION WITH FIRE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
MVCFIREB,FIRE|MVC|BLS,MVCFIREB,"MOTOR VEHICLE COLLISION WITH FIRE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
MVCFIRE1,FIRE|MVC|CYCLE|ALS1,MVCFIRE1,"MOTOR VEHICLE COLLISION INVOLVING A CYCLIST WITH FIRE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,,
MVCFIRE2,FIRE|MVC|CYCLE|ALS2,MVCFIRE2,"MOTOR VEHICLE COLLISION INVOLVING A CYCLIST WITH FIRE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
MVCFIREB,FIRE|MVC|CYCLE|BLS,MVCFIREB,"MOTOR VEHICLE COLLISION INVOLVING A CYCLIST WITH FIRE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
MVCFIREEJEC1,FIRE|MVC|EJEC|ALS1,MVCFIREEJEC1,"MOTOR VEHICLE COLLISION WITH EJECTION AND FIRE, A-L-S ONE",1,,1,1,1,1,,,,,,,,,,,,,,,,
MVCFIREEJEC2,FIRE|MVC|EJEC|ALS2,MVCFIREEJEC2,"MOTOR VEHICLE COLLISION WITH EJECTION AND FIRE, A-L-S TWO",1,,1,2,,1,,,,,,,,,,,,,,,,
MVCFIREEJECB,FIRE|MVC|EJEC|BLS,MVCFIREEJECB,"MOTOR VEHICLE COLLISION WITH EJECTION AND FIRE, B-L-S",1,,1,1,1,,,,,,,,,,,,,,,,,
MVCFIREEJECHM1,FIRE|MVC|EJEC|HM|ALS1,MVCFIREEJECHM1,"MOTOR VEHICLE COLLISION WITH EJECTION, FIRE, AND HAZ MAT, A-L-S ONE",1,,1,1,1,1,,,,,,,,,,,,,,,,
MVCFIREEJECHM2,FIRE|MVC|EJEC|HM|ALS2,MVCFIREEJECHM2,"MOTOR VEHICLE COLLISION WITH EJECTION, FIRE, AND HAZ MAT, A-L-S TWO",1,,1,2,,1,,,,,,,,,,,,,,,,
MVCFIREEJECHMB,FIRE|MVC|EJEC|HM|BLS,MVCFIREEJECHMB,"MOTOR VEHICLE COLLISION WITH EJECTION, FIRE, AND HAZ MAT, B-L-S",1,,1,1,1,,,,,,,,,,,,,,,,,
MVCFIREHM1,FIRE|MVC|HM|ALS1,MVCFIREHM1,"MOTOR VEHICLE COLLISION WITH FIRE AND HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,,,
MVCFIREHM2,FIRE|MVC|HM|ALS2,MVCFIREHM2,"MOTOR VEHICLE COLLISION WITH FIRE AND HAZ MAT, A-L-S TWO",2,1,,1,,1,,,,,,,,1,,,,,,,,
MVCFIREHMB,FIRE|MVC|HM|BLS,MVCFIREHMB,"MOTOR VEHICLE COLLISION WITH FIRE AND HAZ MAT, B-L-S",2,1,,,1,,,,,,,,,1,,,,,,,,
MVCFIREHM1,FIRE|MVC|HM|CYCLE|ALS1,MVCFIREHM1,"MOTOR VEHICLE COLLISION INVOLVING A CYCLIST WITH FIRE AND HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,,,
MVCFIREHM2,FIRE|MVC|HM|CYCLE|ALS2,MVCFIREHM2,"MOTOR VEHICLE COLLISION INVOLVING A CYCLIST WITH FIRE AND HAZ MAT, A-L-S TWO",2,1,,1,,1,,,,,,,,1,,,,,,,,
MVCFIREHMB,FIRE|MVC|HM|CYCLE|BLS,MVCFIREHMB,"MOTOR VEHICLE COLLISION INVOLVING A CYCLIST WITH FIRE AND HAZ MAT, B-L-S",2,1,,,1,,,,,,,,,1,,,,,,,,
